,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
"Crossover 0.6, Mutation 0.3",53.07896,36.24608,31.81192,29.87016,28.44968,27.2568,24.318,23.00672,20.3668,17.89848,16.70256,14.47656,13.39688,11.25536,10.24832,9.29776,8.4216,7.76176,7.18344,5.98496,5.11792,4.25088,3.50696,2.88616,2.3992,2.02768,1.65616,1.28464,0.91312,0.78296
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
"Crossover 0.5, Mutation 0.5",30.77992,21.86344,18.2476,14.86696,11.5992,9.51656,7.996,6.35752,5.37184,4.60624,4.09272,3.8188,3.71928,3.71928,3.71928,3.71928,3.71928,3.71928,3.71928,3.71928,3.71928,3.71928,3.71928,3.71928,3.71928,3.71928,3.7096,3.69024,3.67088,3.65152
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
"Crossover 0.3, Mutation 0.6",48.50592,38.70216,30.14848,24.82408,19.01712,14.09264,9.84216,7.606,5.79032,4.45728,3.6436,3.31256,3.20456,3.20456,3.20456,3.20456,3.20456,3.20456,3.20456,3.20456,3.20456,3.20456,3.20456,3.20456,3.20456,3.20456,3.20456,3.20456,3.20456,3.20456
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
"Crossover 0.9, Mutation 0.1",104.7014,91.9998,81.4538,71.9014,58.036,46.6412,39.3144,32.8162,26.975,20.6714,15.3554,8.8436,6.1804,5.0084,4.2708,3.5332,3.1072,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
"Crossover 0.1, Mutation 0.9",112.2128,86.124,64.7384,51.512,44.4272,39.5718,35.204,33.5048,32.2296,31.1658,30.9196,30.7216,30.5236,30.2266,29.2302,27.6334,26.0366,24.3408,21.9456,20.4478,19.049,17.6502,16.2514,14.8526,13.4538,12.055,12.055,12.055,12.055,12.055
